,d1,d2,d3,d4,d5,d6,Temperature,Humidity,Weather
104,26.876,18.602,23.66,12.859,11.75,27.269,,,
105,27.395,19.098,23.733,9.8526,14.259,26.354,,,
106,27.763,20.279,23.081,11.761,13.145,26.592,,,
107,27.645,20.329,23.186,11.249,13.356,26.778,,,
108,26.885,19.663,24.177,10.791,15.094,27.442,,,
109,27.792,21.27,23.685,13.29,13.921,26.753,,,
110,26.2,20.138,24.537,12.218,13.357,27.703,,,
111,26.978,20.186,23.43,10.911,14.771,27.026,,,
112,26.596,21.492,23.187,12.389,12.218,26.258,,,
113,27.082,20.674,22.847,12.218,19.881,27.06,,,
114,28.034,19.943,22.95,13.358,9.8524,25.215,,,
115,27.667,22.024,23.508,12.218,9.8508,26.37,,,
116,26.188,19.563,23.214,11.761,12.388,25.461,,,
117,26.808,19.73,24.522,12.862,9.8204,26.898,,,
118,28.093,19.294,22.218,12.218,11.356,26.968,,,
119,26.884,16.939,21.76,13.358,12.86,26.677,,,
120,28.04,18.786,22.337,11.761,11.983,26.741,,,
121,27.391,19.889,22.592,10.781,10.543,26.235,,,
122,27.95,21.314,24.226,10.792,11.76,26.886,,,
123,27.825,17.566,23.527,12.217,10.543,27.037,,,
124,27.853,16.636,23.643,12.863,9.8518,27.366,,,
125,28.443,21.75,22.981,12.389,9.8427,26.667,,,
126,25.459,20.382,23.344,11.356,7.1815,28.029,,,
127,27.592,21.334,23.096,12.471,10.064,26.384,,,
128,27.513,20.404,22.748,12.218,11.754,28.238,,,
129,24.792,22.119,22.591,11.356,8.2381,26.777,,,
130,25.299,16.533,22.847,11.356,11.757,26.842,,,
131,24.878,20.206,22.827,12.389,9.2077,26.317,,,
132,26.989,20.049,22.218,12.389,10.267,26.331,,,
133,25.068,20.385,23.534,13.354,12.218,26.437,,,
134,29.771,21.538,22.846,12.863,10.279,26.437,,,
135,26.496,21.181,22.56,12.218,9.2044,27.313,,,
136,27.796,18.497,22.748,12.471,10.543,27.365,,,
137,25.957,16.603,21.216,12.471,10.137,26.694,,,
138,26.072,19.759,22.112,12.218,10.91,27.732,,,
139,29.241,12.673,23.194,12.471,10.082,27.095,,,
140,28.923,19.987,22.471,11.356,9.852,26.888,,,
141,28.604,20.967,22.779,10.911,7.5302,27.303,,,
142,28.927,20.965,23.045,13.082,13.357,25.872,,,
143,28.866,13.443,23.249,13.358,12.217,26.225,,,
144,27.957,20.709,22.847,13.554,2.218,25.993,,,
145,26.93,19.37,22.958,12.213,12.217,26.123,,,
146,27.843,21.275,22.958,13.92,13.357,25.968,,,
147,29.219,14.453,23.357,12.218,11.352,27.012,,,
148,28.89,21.571,22.388,13.862,12.51,26.317,,,
149,29.386,21.007,22.218,13.854,15.14,25.759,,,
150,29.152,21.036,21.827,13.354,14.259,26.41,,,
